time,total_pgfaults
1645419336.627123,239871232
1645419336.8281028,239871576
1645419337.0290809,239871963
1645419337.2300606,239872308
1645419337.4310515,239872652
1645419337.6319845,239872997
1645419337.8329613,239873343
1645419338.0339339,239873813
1645419338.234918,239876278
1645419338.4361064,239876625
1645419338.63708,239876968
1645419338.8380253,239877313
1645419339.0389612,239877658
1645419339.2399476,239878001
1645419339.4409266,239878348
1645419339.6419098,239878695
1645419339.8428953,239879040
1645419340.043871,239879390
1645419340.2448802,239879736
1645419340.4458609,239880083
1645419340.6468382,239880429
1645419340.8477776,239880772
1645419341.048741,239881118
1645419341.2497876,239881461
1645419341.4507577,239881806
1645419341.6517053,239882150
1645419341.8526223,239882494
1645419342.0535536,239882837
1645419342.2544742,239883184
1645419342.4554102,239883528
1645419342.656343,239883876
1645419342.8572745,239884222
1645419343.058214,239884571
1645419343.2591457,239884919
1645419343.4601157,239885263
1645419343.6610458,239885610
1645419343.8619778,239885956
1645419344.062946,239886301
1645419344.2639127,239886647
1645419344.4648843,239886996
1645419344.6658628,239887340
1645419344.8668356,239887687
1645419345.0678113,239888036
1645419345.2687862,239888389
1645419345.469763,239888756
1645419345.670781,239889408
1645419345.8718433,239890644
1645419346.0730283,239890989
1645419346.274004,239891331
1645419346.474964,239891675
1645419346.6759431,239892018
1645419346.876925,239892799
1645419347.0779727,239893355
1645419347.2790158,239893700
1645419347.480009,239894046
1645419347.6809914,239894391
1645419347.881964,239894736
1645419348.0829396,239895082
1645419348.2839155,239895424
1645419348.484887,239895768
1645419348.6858585,239896113
1645419348.886827,239896458
1645419349.087791,239896804
1645419349.288772,239897150
1645419349.4897547,239897500
1645419349.6907377,239897846
1645419349.8917415,239898200
1645419350.092721,239898543
1645419350.2937498,239898888
1645419350.494792,239899233
1645419350.6957605,239899578
1645419350.8967316,239899924
1645419351.0977416,239900270
1645419351.2987852,239900614
1645419351.4997559,239900959
1645419351.700722,239901305
1645419351.9017618,239901653
1645419352.1027439,239901998
1645419352.3037424,239902344
1645419352.504785,239902689
1645419352.7057526,239903034
1645419352.906695,239903381
1645419353.1076949,239903723
1645419353.3086429,239904065
1645419353.509568,239904410
1645419353.7103949,239904755
1645419353.9113245,239905100
1645419354.1122599,239905446
1645419354.313201,239905790
1645419354.5141456,239906140
1645419354.7151139,239906482
1645419354.9160843,239906845
1645419355.1170557,239907188
1645419355.3179934,239907533
1645419355.5189762,239907879
1645419355.7199454,239908226
1645419355.9209077,239908572
1645419356.1218822,239908917
1645419356.3228528,239909265
1645419356.5238616,239909611
1645419356.7248456,239909956
1645419356.925813,239910299
1645419357.1267924,239910644
1645419357.3277757,239910990
1645419357.5287457,239911335
1645419357.7297127,239911682
1645419357.9307258,239912028
1645419358.1317317,239912376
1645419358.3327003,239912718
1645419358.533668,239913091
1645419358.7346416,239913436
1645419358.9355814,239913781
1645419359.1365185,239914128
1645419359.3373814,239914473
1645419359.5383098,239914820
1645419359.7392468,239915165
1645419359.940188,239915515
1645419360.1411529,239915885
1645419360.3422785,239916231
1645419360.543238,239916574
1645419360.7441769,239916919
1645419360.9451463,239917262
1645419361.1461112,239917607
1645419361.3470466,239917950
1645419361.5479758,239918295
1645419361.7489433,239918640
1645419361.9499166,239918987
1645419362.1508877,239919332
1645419362.35185,239919678
1645419362.5528197,239920026
1645419362.753794,239920372
1645419362.9547563,239920718
1645419363.1557117,239921064
1645419363.3567204,239921411
1645419363.5577266,239921754
1645419363.7587066,239922100
1645419363.9597304,239922445
1645419364.1607392,239922792
1645419364.3617084,239923138
1645419364.5627146,239923486
1645419364.7637157,239923829
1645419364.9647152,239924178
1645419365.1657326,239924523
1645419365.3667088,239924865
1645419365.56771,239925210
1645419365.76871,239925556
1645419365.969711,239925901
1645419366.1707015,239926246
1645419366.3716753,239926590
1645419366.5726361,239926936
1645419366.7735631,239927283
1645419366.9745014,239927627
1645419367.1754444,239927972
1645419367.3763702,239928314
1645419367.5773065,239928660
1645419367.7782376,239929004
1645419367.979176,239929348
1645419368.180144,239931810
1645419368.381296,239932686
1645419368.5824301,239933700
1645419368.7836099,239934043
1645419368.9843757,239934389
1645419369.1853151,239934734
1645419369.386252,239935080
1645419369.587187,239935428
1645419369.7881558,239935773
1645419369.9891295,239936124
1645419370.1902454,239936469
1645419370.3912818,239936817
1645419370.5922527,239937162
1645419370.793198,239937505
1645419370.9941368,239937848
1645419371.1951027,239938193
1645419371.3960426,239938538
1645419371.5969927,239938884
1645419371.7979786,239939230
1645419371.998965,239939572
1645419372.1999347,239939917
1645419372.4009123,239940262
1645419372.6018832,239940608
1645419372.8028598,239940954
1645419373.0038283,239941299
1645419373.2047746,239941647
1645419373.4057446,239941993
1645419373.606713,239942336
1645419373.807713,239942680
1645419374.0087295,239943026
1645419374.2097044,239943371
1645419374.41069,239943716
1645419374.611657,239944070
1645419374.8126075,239944416
1645419375.01353,239944763
1645419375.214453,239945110
1645419375.415386,239945457
1645419375.6163287,239945803
1645419375.8172648,239946150
1645419376.0182028,239946494
1645419376.219133,239946837
1645419376.4200993,239947182
1645419376.621037,239947529
1645419376.8219676,239947876
1645419377.022958,239948224
1645419377.2239385,239948570
1645419377.4249084,239948914
1645419377.6258864,239949260
1645419377.8268592,239949605
1645419378.0278335,239949949
1645419378.2288072,239950296
1645419378.42978,239950642
1645419378.6307483,239950986
1645419378.8318028,239951330
1645419379.0327928,239951675
1645419379.2337697,239952020
1645419379.4347463,239952365
1645419379.6358516,239952716
1645419379.836892,239953063
1645419380.0378642,239953413
1645419380.2388384,239953759
1645419380.4398327,239954103
1645419380.6408055,239954450
1645419380.8417776,239954798
1645419381.0427544,239955146
1645419381.2437272,239955494
1645419381.4446979,239955840
1645419381.6457226,239956185
1645419381.8467097,239956532
1645419382.0477297,239956877
1645419382.2487006,239957223
1645419382.4496915,239957569
1645419382.6507044,239957912
1645419382.8519351,239958258
1645419383.0529063,239958606
1645419383.2538712,239958951
1645419383.4548385,239959297
1645419383.655813,239959642
1645419383.856756,239959987
1645419384.0577292,239960335
1645419384.2587051,239960679
1645419384.4597206,239961026
1645419384.6607075,239961368
1645419384.8616896,239961725
1645419385.062696,239962078
1645419385.2637138,239962423
1645419385.4646816,239962769
1645419385.6656675,239963113
1645419385.8665879,239963455
1645419386.0674849,239963802
1645419386.2684183,239964146
1645419386.4693453,239964490
1645419386.67027,239964835
1645419386.8712142,239965180
1645419387.0721712,239965524
1645419387.273146,239965872
1645419387.4741175,239966215
1645419387.6750596,239966561
1645419387.8759966,239966908
1645419388.0769756,239967254
1645419388.2779524,239967598
1645419388.478959,239967972
1645419388.6799376,239968318
1645419388.880914,239968664
1645419389.0818918,239969009
1645419389.2828639,239969716
1645419389.4842093,239970064
1645419389.6851585,239970410
1645419389.886151,239970760
1645419390.08712,239971102
1645419390.2881112,239971446
1645419390.4890723,239971791
1645419390.6900158,239972136
1645419390.8915565,239972484
1645419391.092483,239972827
1645419391.293407,239973175
1645419391.4943428,239973520
1645419391.6952844,239973867
1645419391.8962224,239974210
1645419392.0971603,239974555
1645419392.2981296,239974900
1645419392.4990995,239975247
1645419392.700043,239975593
1645419392.900983,239975939
1645419393.1019704,239976286
1645419393.3029473,239976632
1645419393.503953,239976979
1645419393.7049212,239977325
1645419393.9058912,239977671
1645419394.106869,239978020
1645419394.307811,239978368
1645419394.508787,239978721
1645419394.709759,239979068
1645419394.9107351,239979421
1645419395.1117122,239979766
1645419395.31272,239980112
1645419395.5137274,239980459
1645419395.7147014,239980808
1645419395.9156995,239981153
1645419396.116693,239981500
1645419396.3176959,239981845
1645419396.51869,239982191
1645419396.7196865,239982534
1645419396.9206574,239982881
1645419397.121635,239983228
1645419397.322697,239983574
1645419397.523695,239983919
1645419397.724692,239984265
1645419397.9257216,239984612
1645419398.1267357,239984957
1645419398.3277082,239987409
1645419398.5288694,239987756
1645419398.7298522,239988099
1645419398.9308274,239988443
1645419399.1317961,239988788
1645419399.33277,239989133
1645419399.5337458,239989484
1645419399.7347293,239989828
1645419399.9357016,239990183
1645419400.136713,239990533
1645419400.337724,239990878
1645419400.5387282,239991227
1645419400.7397037,239991575
1645419400.94067,239991923
1645419401.1416376,239992269
1645419401.3425703,239992616
1645419401.5435026,239992965
1645419401.7444348,239993313
1645419401.945365,239993660
1645419402.1463082,239994011
1645419402.3472598,239994360
1645419402.5481997,239994709
1645419402.7491632,239995057
1645419402.9501343,239995406
1645419403.1511068,239995753
1645419403.3520458,239996102
1645419403.5529761,239996447
1645419403.753985,239996795
1645419403.9549274,239997140
1645419404.1559002,239997488
1645419404.356873,239997836
1645419404.557841,239998189
1645419404.7588284,239998537
1645419404.9598086,239998891
1645419405.1607828,239999245
1645419405.361758,239999591
1645419405.5627265,239999942
1645419405.763672,240000287
1645419405.9646378,240000634
1645419406.16557,240000984
1645419406.3665028,240001331
1645419406.5674307,240001677
1645419406.7683585,240002026
1645419406.969286,240002373
1645419407.1702292,240002721
1645419407.3711712,240003067
1645419407.5721369,240003416
1645419407.7731087,240003763
1645419407.974046,240004110
1645419408.1749797,240004459
1645419408.3759599,240004809
1645419408.5769742,240005155
1645419408.7779465,240005503
1645419408.978924,240005850
1645419409.1798978,240006198
1645419409.3808744,240006544
1645419409.5818539,240006899
1645419409.7828455,240007244
1645419409.983778,240007598
1645419410.184768,240007946
1645419410.3858166,240008292
1645419410.5867896,240008637
1645419410.7877653,240008983
1645419410.9887414,240009328
1645419411.1897943,240009676
1645419411.3907678,240010023
1645419411.5917082,240010370
1645419411.7927127,240010717
1645419411.993704,240011065
1645419412.1947172,240011411
1645419412.3957324,240011755
1645419412.5966995,240012103
1645419412.7977173,240012450
1645419412.998727,240012800
1645419413.19973,240013148
1645419413.4007368,240013496
1645419413.601792,240013845
1645419413.8027601,240014193
1645419414.0037289,240014539
1645419414.2047644,240014884
1645419414.4057412,240015232
1645419414.6067345,240015587
1645419414.8077242,240015934
1645419415.0087476,240016300
1645419415.209791,240016647
1645419415.4107695,240016992
1645419415.6117127,240017337
1645419415.8127215,240017685
1645419416.013738,240018032
1645419416.2147105,240018381
1645419416.4157054,240018727
1645419416.6167226,240019072
1645419416.8177097,240019416
1645419417.0187185,240019764
1645419417.2197182,240020110
1645419417.4207246,240020456
1645419417.6217344,240020803
1645419417.822704,240021150
1645419418.0237157,240021498
1645419418.22473,240021845
1645419418.4257038,240022216
1645419418.6267247,240022562
1645419418.8277082,240022912
1645419419.0287192,240023261
1645419419.229743,240023610
1645419419.4307868,240023958
1645419419.6317663,240024312
1645419419.8327217,240024663
1645419420.033728,240025026
1645419420.2348578,240025371
1645419420.4358692,240025719
1645419420.636863,240026068
1645419420.8378587,240026417
1645419421.038834,240026766
1645419421.2398136,240027112
1645419421.4407985,240027457
1645419421.6417696,240027803
1645419421.842744,240028155
1645419422.04381,240028502
1645419422.2447875,240028851
1645419422.4457672,240029200
1645419422.6467524,240029546
1645419422.8477216,240029892
1645419423.0487645,240030239
1645419423.2497368,240030587
1645419423.4508064,240030936
1645419423.6517885,240031284
1645419423.852766,240031630
1645419424.0537474,240031980
1645419424.2547169,240032328
1645419424.4557388,240032684
1645419424.6567845,240033033
1645419424.8577566,240033382
1645419425.0587332,240033734
1645419425.259788,240034082
1645419425.4607549,240034432
1645419425.6617255,240034781
1645419425.86271,240035130
1645419426.06372,240035482
1645419426.2647223,240035831
1645419426.465735,240036182
1645419426.6667469,240036533
1645419426.8676946,240036882
1645419427.0687282,240037234
1645419427.2697396,240037586
1645419427.4707177,240037935
1645419427.6717212,240038285
1645419427.872716,240038630
1645419428.0736945,240038979
1645419428.274704,240041439
1645419428.4758186,240041790
1645419428.676783,240042137
1645419428.8777232,240042484
1645419429.078684,240042830
1645419429.2796319,240043180
1645419429.4805522,240043532
1645419429.6814759,240043880
1645419429.8823464,240044232
1645419430.0832832,240044582
1645419430.2844987,240044932
1645419430.4854631,240045281
1645419430.6863918,240045629
1645419430.8873198,240045976
1645419431.0882556,240046323
1645419431.2891922,240046670
1645419431.4901261,240047020
1645419431.6910734,240047367
1645419431.8920455,240047718
1645419432.092981,240048064
1645419432.2939503,240048413
1645419432.4949224,240048761
1645419432.6958919,240049111
1645419432.8968732,240049460
1645419433.0978456,240049812
1645419433.2987888,240050160
1645419433.4997513,240050511
1645419433.7007108,240050861
1645419433.901678,240051208
1645419434.1026337,240051556
1645419434.303563,240051907
1645419434.5044875,240052262
1645419434.70541,240052610
1645419434.9063325,240052962
1645419435.107263,240053311
1645419435.3081944,240053657
1645419435.5091577,240054004
1645419435.710115,240054351
1645419435.9110467,240054699
1645419436.111976,240055047
1645419436.3129482,240055393
1645419436.5139472,240055742
1645419436.7149189,240056092
1645419436.9158952,240056974
1645419437.1171207,240057322
1645419437.318078,240057670
1645419437.5190296,240058016
1645419437.7199714,240058365
1645419437.9209416,240058713
1645419438.1219149,240059101
1645419438.3228612,240059878
1645419438.5238302,240060400
1645419438.7248466,240060770
1645419438.9258425,240061118
1645419439.1268284,240061484
1645419439.327811,240061833
1645419439.5288343,240062186
1645419439.7298458,240062539
1645419439.930849,240062893
1645419440.1318047,240063304
1645419440.3327606,240063652
1645419440.5337636,240064001
1645419440.7347398,240064348
1645419440.9357169,240064695
1645419441.1367283,240065042
1645419441.3376756,240065387
1645419441.5386047,240066071
1645419441.7397158,240066420
1645419441.9407585,240069290
1645419442.1420648,240069878
1645419442.3429985,240070253
1645419442.543949,240070606
1645419442.744888,240070955
1645419442.9462233,240071306
1645419443.14717,240071658
1645419443.348185,240072429
1645419443.5491788,240072924
1645419443.7501497,240073273
1645419443.9511101,240073625
1645419444.1520526,240073999
1645419444.3530078,240074351
1645419444.5539927,240074707
1645419444.7549427,240075057
1645419444.955919,240075413
1645419445.1568935,240075766
1645419445.3578682,240076117
1645419445.558895,240076466
1645419445.7598698,240076815
1645419445.960852,240077164
1645419446.1618292,240077513
1645419446.3628054,240077864
1645419446.563784,240078210
1645419446.7647555,240078560
1645419446.9657433,240078909
1645419447.1667306,240079258
1645419447.3677254,240079608
1645419447.5687034,240079956
1645419447.769725,240080306
1645419447.9706922,240080655
1645419448.171655,240081004
1645419448.3727205,240081353
1645419448.573653,240081726
1645419448.7746263,240082075
1645419448.975565,240082423
1645419449.1764987,240082770
1645419449.3774264,240083122
1645419449.5783682,240083478
1645419449.779301,240083828
1645419449.980244,240084181
1645419450.181182,240084528
1645419450.382098,240084877
1645419450.5830328,240085228
1645419450.784033,240085578
1645419450.986342,240085927
1645419451.1872742,240086278
1645419451.3882086,240086626
1645419451.5891078,240086976
1645419451.7900474,240087327
1645419451.991002,240087676
1645419452.191957,240088026
1645419452.3929267,240088381
1645419452.5939028,240088729
1645419452.7948728,240089079
1645419452.9958508,240089429
1645419453.1968305,240089777
1645419453.397799,240090128
1645419453.5987766,240090479
1645419453.799753,240090828
1645419454.0007274,240091177
1645419454.2017274,240091526
1645419454.4026892,240091875
1645419454.6036887,240092229
1645419454.8046656,240092577
1645419455.0056355,240092931
1645419455.2065642,240093282
1645419455.407496,240093631
1645419455.608431,240093977
1645419455.8093557,240094325
1645419456.010287,240094672
1645419456.2112236,240095020
1645419456.4121583,240095371
1645419456.6130943,240095717
1645419456.814025,240096069
1645419457.0149734,240096419
1645419457.2159147,240096769
1645419457.4168882,240097120
1645419457.6178954,240097471
1645419457.8188713,240097822
1645419458.0198505,240098172
1645419458.2208104,240099307
1645419458.4220328,240100973
1645419458.6231043,240101320
1645419458.824069,240101671
1645419459.0250127,240102019
1645419459.22596,240102371
1645419459.426981,240102721
1645419459.6279628,240103076
1645419459.8289568,240103425
1645419460.0299335,240103780
1645419460.2309177,240104127
1645419460.4318893,240104476
1645419460.6328647,240104827
1645419460.8338451,240105178
1645419461.03482,240105527
1645419461.2358015,240105876
1645419461.4367766,240106224
1645419461.6377618,240106572
1645419461.8387444,240106922
1645419462.0397296,240107269
1645419462.2407124,240107618
1645419462.4417274,240107967
1645419462.6426742,240108317
1645419462.8436399,240108665
1645419463.0444684,240109016
1645419463.2454016,240109365
1645419463.4463248,240109714
1645419463.6472638,240110066
1645419463.8482077,240110417
1645419464.0491173,240110770
1645419464.2501109,240111117
1645419464.4510486,240111468
1645419464.6519995,240111826
1645419464.8529446,240112176
1645419465.0539784,240112527
1645419465.2549596,240112886
1645419465.4559455,240113235
1645419465.6569648,240113584
1645419465.8579533,240113933
1645419466.0589356,240114283
1645419466.2599742,240114629
1645419466.4609761,240114977
1645419466.6619997,240115324
1645419466.8629482,240115673
1645419467.0639224,240116022
1645419467.2649522,240116371
1645419467.4659677,240116720
1645419467.6669376,240117070
1645419467.8678818,240117420
1645419468.0688627,240117767
1645419468.2698462,240118116
1645419468.4708333,240118463
1645419468.6717858,240118813
1645419468.8727088,240119161
1645419469.073691,240119510
1645419469.2747135,240119860
1645419469.4757223,240120215
1645419469.6767316,240120565
1645419469.8777118,240120914
1645419470.0787206,240121272
1645419470.2796986,240121623
1645419470.4807518,240121973
1645419470.6817386,240122324
1645419470.88273,240122674
1645419471.083781,240123022
1645419471.284762,240123370
1645419471.4857433,240123718
1645419471.6867332,240124067
1645419471.8876777,240124418
1645419472.0886211,240124770
1645419472.2895496,240125120
1645419472.4904838,240125473
1645419472.6914158,240125823
1645419472.892351,240126175
1645419473.0932975,240126524
1645419473.294242,240126874
1645419473.4951818,240127227
1645419473.6961517,240127576
1645419473.8971212,240127927
1645419474.098064,240128274
1645419474.2989974,240128627
1645419474.4999716,240128981
1645419474.7009122,240129333
1645419474.9018896,240129701
1645419475.1028807,240130051
1645419475.30389,240130402
1645419475.5049403,240130754
1645419475.705876,240131105
1645419475.9068668,240131456
1645419476.1078506,240131808
1645419476.3088646,240132160
1645419476.5098271,240132511
1645419476.710805,240132862
1645419476.9117837,240133212
1645419477.1127687,240133563
1645419477.3137717,240133916
1645419477.5147696,240134269
1645419477.7157407,240134620
1645419477.916729,240134971
1645419478.1176975,240135322
1645419478.318702,240135673
1645419478.5197186,240136047
1645419478.7207918,240136399
1645419478.9217703,240136749
1645419479.1227424,240137100
1645419479.3237288,240137448
1645419479.5247293,240137804
1645419479.7257168,240138155
1645419479.9267364,240138510
1645419480.1277573,240138867
1645419480.3289015,240139217
1645419480.52994,240139566
1645419480.730949,240139916
1645419480.9319422,240140265
1645419481.1329353,240140617
1645419481.3339589,240140966
1645419481.5349288,240141317
1645419481.7357428,240141669
1645419481.9367316,240142019
1645419482.1377146,240142372
1645419482.338745,240142723
1645419482.5397213,240143074
1645419482.740735,240143426
1645419482.9417894,240143778
1645419483.142773,240144129
1645419483.343743,240144480
1645419483.5447176,240144829
1645419483.7457218,240145178
1645419483.946732,240145529
1645419484.1477814,240145879
1645419484.3487685,240146228
1645419484.5497544,240146585
1645419484.7507405,240146934
1645419484.9517963,240147288
1645419485.1527927,240147638
1645419485.3538282,240147988
1645419485.55481,240148340
1645419485.7558017,240148691
1645419485.956791,240149040
1645419486.1575615,240149389
1645419486.3583462,240149737
1645419486.5592434,240150086
1645419486.7601852,240150440
1645419486.961147,240150788
1645419487.1621232,240151138
1645419487.3630798,240151489
1645419487.5640688,240151839
1645419487.765047,240152192
1645419487.9659915,240152541
1645419488.1669586,240152893
1645419488.3680112,240155358
1645419488.5691576,240155713
1645419488.7701602,240156065
1645419488.971133,240156418
1645419489.1721115,240156769
1645419489.3730712,240157120
1645419489.5740166,240157476
1645419489.7749653,240157827
1645419489.9759538,240158180
1645419490.1770523,240158528
1645419490.3782184,240158877
1645419490.579188,240159227
1645419490.780152,240159576
1645419490.9811242,240159928
1645419491.1820974,240160277
1645419491.3830423,240160628
1645419491.5839846,240160979
1645419491.784955,240161327
1645419491.9859354,240161677
1645419492.1869266,240162024
1645419492.387905,240162374
1645419492.5888832,240162723
1645419492.7898486,240163075
1645419492.9908292,240163426
1645419493.1918101,240163777
1645419493.3927867,240164128
1645419493.5937624,240164478
1645419493.7947361,240164830
1645419493.9957147,240165179
1645419494.1966865,240165528
1645419494.3976488,240165877
1645419494.598604,240166234
1645419494.7995467,240166584
1645419495.0004716,240166938
1645419495.2013996,240167288
1645419495.4023447,240167639
1645419495.6032765,240167991
1645419495.8042116,240168342
1645419496.005152,240168693
1645419496.2061288,240169044
1645419496.4070725,240169394
1645419496.6080112,240169745
1645419496.8089535,240170094
1645419497.0099432,240170445
1645419497.2109268,240170794
1645419497.4118943,240171145
1645419497.612871,240171495
1645419497.8138702,240171846
1645419498.014843,240172198
1645419498.215813,240172548
1645419498.4168315,240172898
1645419498.6177723,240173250
1645419498.8187559,240173601
1645419499.0197442,240173952
1645419499.2207222,240174301
1645419499.4217284,240174649
1645419499.622709,240175006
1645419499.8237207,240175356
1645419500.0246801,240175712
1645419500.225723,240176059
1645419500.426792,240176409
1645419500.627775,240176760
1645419500.828753,240177108
1645419501.0297263,240177460
1645419501.2308202,240177810
1645419501.4318545,240178162
1645419501.6329505,240178514
1645419501.8339922,240178864
1645419502.0349624,240179217
1645419502.2359486,240179569
1645419502.4369495,240179919
1645419502.6380272,240180274
1645419502.8389828,240180627
1645419503.040388,240180979
1645419503.241346,240181334
1645419503.4422872,240181686
1645419503.643285,240182036
1645419503.84422,240182387
1645419504.045156,240182741
1645419504.246123,240183091
1645419504.4470968,240183440
1645419504.6481144,240183793
1645419504.8490708,240184144
1645419505.0500174,240184498
1645419505.250992,240184851
1645419505.451982,240185200
1645419505.6529536,240185549
1645419505.8539274,240185900
1645419506.0549128,240186248
1645419506.255892,240186597
1645419506.456874,240186947
1645419506.657815,240187297
1645419506.8588066,240187649
1645419507.059835,240187996
1645419507.2608604,240188345
1645419507.4618468,240188696
1645419507.6628332,240189048
1645419507.8638103,240189397
1645419508.0647793,240189748
1645419508.2657502,240190099
1645419508.466738,240190476
1645419508.6677208,240190824
1645419508.8687842,240191176
1645419509.0697653,240191525
1645419509.2707434,240191874
1645419509.4717174,240192231
1645419509.6727388,240192581
1645419509.8737257,240192934
1645419510.074732,240193285
1645419510.2757123,240193635
1645419510.476735,240193985
1645419510.677793,240194335
1645419510.8787796,240194687
1645419511.0807943,240195041
1645419511.2817812,240195392
1645419511.4827523,240195741
1645419511.6837373,240196089
1645419511.8847444,240196441
1645419512.0857315,240196790
1645419512.2867727,240197140
1645419512.4877517,240197492
1645419512.6887343,240197845
1645419512.889707,240198194
1645419513.0907116,240198544
1645419513.2917166,240198895
1645419513.492717,240199243
1645419513.6937275,240199596
1645419513.8947165,240199947
1645419514.0957146,240200296
1645419514.2967317,240200645
1645419514.497741,240201001
1645419514.6987252,240201351
1645419514.899732,240201705
1645419515.1007361,240202054
1645419515.3017251,240202402
1645419515.5026827,240202752
1645419515.7037163,240203102
1645419515.9047196,240203452
1645419516.1057305,240203800
1645419516.3067403,240204151
1645419516.5077322,240204500
1645419516.7087831,240204852
1645419516.9097588,240205202
1645419517.110739,240205552
1645419517.3117259,240205902
1645419517.5127184,240206251
1645419517.7137246,240206600
1645419517.9147236,240206952
1645419518.115727,240207303
1645419518.3166928,240209722
1645419518.5178158,240210094
1645419518.7188146,240210445
1645419518.9198046,240210796
1645419519.1208003,240211144
1645419519.3217216,240211495
1645419519.522733,240211854
1645419519.7237175,240212205
1645419519.9247482,240212561
1645419520.1258028,240213661
1645419520.3269181,240214011
1645419520.5279436,240214361
1645419520.728943,240214714
1645419520.9299364,240215065
1645419521.1309369,240215416
1645419521.3319166,240215769
1645419521.5329034,240216117
1645419521.7338872,240216465
1645419521.9348385,240216816
1645419522.1358159,240217166
1645419522.336799,240217518
1645419522.537791,240217868
1645419522.7387624,240218217
1645419522.9397397,240218567
1645419523.1407135,240218916
1645419523.341738,240219266
1645419523.542715,240219617
1645419523.743729,240219968
1645419523.9447143,240220319
1645419524.145725,240220668
1645419524.3467448,240221018
1645419524.547722,240221379
1645419524.7487507,240221724
1645419524.9497232,240222077
1645419525.1507344,240222435
1645419525.3516762,240222782
1645419525.552735,240223132
1645419525.753713,240223481
1645419525.9546957,240223830
1645419526.1556895,240224184
1645419526.3566582,240224534
1645419526.5575964,240224880
1645419526.7583814,240225228
1645419526.959324,240225578
1645419527.1602733,240225928
1645419527.3612087,240226276
1645419527.5621521,240226639
1645419527.7631116,240226986
1645419527.9640796,240227338
1645419528.1650465,240227688
1645419528.366042,240228040
1645419528.5669925,240228389
1645419528.7680013,240228738
1645419528.968982,240229086
1645419529.1699586,240229435
1645419529.3709385,240229785
1645419529.5719159,240230136
1645419529.7728958,240230482
1645419529.97387,240230838
1645419530.1749282,240231184
1645419530.375997,240231533
1645419530.576977,240231881
1645419530.7779562,240232230
1645419530.9789333,240232579
1645419531.179898,240232927
1645419531.3808815,240233274
1645419531.5818563,240233624
1645419531.7828734,240233975
1645419531.9838774,240234325
1645419532.1848657,240234673
1645419532.3858402,240235026
1645419532.586818,240235373
1645419532.7877917,240235722
1645419532.9887636,240236072
1645419533.1897469,240236421
1645419533.3907385,240236770
1645419533.5917237,240237121
1645419533.792737,240237472
1645419533.9937801,240237823
1645419534.1947596,240238169
1645419534.3957376,240238520
1645419534.596778,240238878
1645419534.7977636,240239227
1645419534.998752,240239596
1645419535.1997359,240239946
1645419535.400756,240240296
1645419535.601777,240240649
1645419535.8027546,240240998
1645419536.0037205,240241346
1645419536.2047317,240241695
1645419536.405778,240242042
1645419536.6067624,240242392
1645419536.807776,240242741
1645419537.0087655,240243091
1645419537.2097664,240243441
1645419537.4107566,240243788
1645419537.6117415,240244138
1645419537.812722,240244488
1645419538.0137286,240244834
1645419538.21474,240245182
1645419538.4156983,240245531
1645419538.6167104,240245904
1645419538.817711,240246254
1645419539.018699,240246601
